shakespeare,modern
"It is not well done , mark you now , to take the tales out of my mouth ere it is made and finished .","It is not courteous , you know , to assume you know my meaning before I've finished talking ."
I speak but in the figures and comparisons of it .,I'm speaking purely in analogies and comparisons .
Sir John Falstaff .,Sir John Falstaff .
That is he .,That's the one .
"I'll tell you , there is good men porn at Monmouth .","I tell you , there are good men born at Monmouth ."
Here comes his Majesty .,Here comes his Majesty .
I was not angry since I came to France Until this instant .,I was not angry since I came to France until this instant .
"Take a trumpet , herald .","Take a trumpet , herald ."
Ride thou unto the horsemen on yond hill .,Ride out to the horsemen on that hill .
"If they will fight with us , bid them come down , Or void the field .","If they seek battle with us , have them come down or else clear the field ."
They do offend our sight .,The sight of them is offensive .
"If they'll do neither , we will come to them And make them skirr away as swift as stones Enforced from the old Assyrian slings .","If they'll do neither , we'll come to them and make them fly like stones shot from powerful slings ."
Go and tell them so .,Go and tell them this .
"Here comes the herald of the French , my liege .","Here comes the herald of the French , my liege ."
His eyes are humbler than they used to be .,He looks humbler than he used to .
Know'st thou not That I have fined these bones of mine for ransom ?,Don't you know that I have offered these bones of mine for ransom ?
Com'st thou again for ransom ?,Are you coming again for ransom ?
"No , great king .","No , great king ."
"I come to thee for charitable license , That we may wander o'er this bloody field To book our dead and then to bury them ; To sort our nobles from our common men , For many of our princes , woe the while ! , Lie drowned and soaked in mercenary blood .","I come to ask you out of charity to let us wander over this bloody field to record the numbers of our dead and bury them , separating our nobles from the common men , for many of our princes , alas ! , lie drowned and soaked in the blood of mercenary soldiers ."
"So do our vulgar drench their peasant limbs In blood of princes , and the wounded steeds Fret fetlock deep in gore , and with wild rage Yerk out their armed heels at their dead masters , Killing them twice .","Likewise , our common men lie drenched in the blood of princes , and their wounded steeds , ankle-deep in gore , struggle and , raging wildly , stamp on their dead masters with their hooves , killing them a second time ."
"Oh , give us leave , great king , To view the field in safety and dispose Of their dead bodies .","Oh , give us permission , great king , to search the field in safety and dispose of our dead bodies ."
The day is yours .,You won it .
"Praised be God , and not our strength , for it !","God , not our strength , be praised !"
What is this castle called that stands hard by ?,What is the name of the castle that stands over there ?
They call it Agincourt .,Agincourt .
"Then call we this the field of Agincourt , Fought on the day of Crispin Crispianus .","Then we'll call this the Battle of Agincourt , fought on the day of Crispin Crispianus ."
"Your grandfather of famous memory , an't please your Majesty , and your great-uncle Edward the Plack Prince of Wales , as I have read in the chronicles , fought a most prave pattle here in France .","If I may say so , your Majesty , your famous grandfather and your great-uncle Edward , the Black Prince of Wales , or so I've read in the history books , fought a very brave battle here in France ."
"They did , Fluellen .","They did , Fluellen ."
Your Majesty says very true .,Your Majesty is quite right .
"If your Majesties is remembered of it , the Welshmen did good service in a garden where leeks did grow , wearing leeks in their Monmouth caps , which , your Majesty know , to this hour is an honorable badge of the service .","If your Majesties recall it , the Welsh fought very valiantly in a garden where there were leeks growing , wearing leeks in their Monmouth caps which , your Majesty knows , is to this day a badge of honorable military service ."
